wavelength	ND1	ND2	ND3
501.000	0.0889500	0.00600000	5.03000e-05
502.000	0.0889000	0.00600000	5.06000e-05
503.000	0.0888500	0.00600000	5.09000e-05
504.000	0.0888000	0.00600000	5.12000e-05
505.000	0.0887500	0.00600000	5.15000e-05
506.000	0.0887000	0.00600000	5.18000e-05
507.000	0.0886500	0.00600000	5.21000e-05
508.000	0.0886000	0.00600000	5.24000e-05
509.000	0.0885500	0.00600000	5.27000e-05
510.000	0.0885000	0.00600000	5.30000e-05
511.000	0.0884600	0.00601000	5.34000e-05
512.000	0.0884200	0.00602000	5.38000e-05
513.000	0.0883800	0.00603000	5.42000e-05
514.000	0.0883400	0.00604000	5.46000e-05
515.000	0.0883000	0.00605000	5.50000e-05
516.000	0.0882600	0.00606000	5.54000e-05
517.000	0.0882200	0.00607000	5.58000e-05
518.000	0.0881800	0.00608000	5.62000e-05
519.000	0.0881400	0.00609000	5.66000e-05
520.000	0.0881000	0.00610000	5.70000e-05
521.000	0.0880600	0.00610000	5.74000e-05
522.000	0.0880200	0.00610000	5.78000e-05
523.000	0.0879800	0.00610000	5.82000e-05
524.000	0.0879400	0.00610000	5.86000e-05
525.000	0.0879000	0.00610000	5.90000e-05
526.000	0.0878600	0.00610000	5.94000e-05
527.000	0.0878200	0.00610000	5.98000e-05
528.000	0.0877800	0.00610000	6.02000e-05
529.000	0.0877400	0.00610000	6.06000e-05
530.000	0.0877000	0.00610000	6.10000e-05
531.000	0.0876400	0.00611000	6.14000e-05
532.000	0.0875800	0.00612000	6.18000e-05
533.000	0.0875200	0.00613000	6.22000e-05
534.000	0.0874600	0.00614000	6.26000e-05
535.000	0.0874000	0.00615000	6.30000e-05
536.000	0.0873400	0.00616000	6.34000e-05
537.000	0.0872800	0.00617000	6.38000e-05
538.000	0.0872200	0.00618000	6.42000e-05
539.000	0.0871600	0.00619000	6.46000e-05
540.000	0.0871000	0.00620000	6.50000e-05
541.000	0.0870400	0.00620000	6.54000e-05
542.000	0.0869800	0.00620000	6.58000e-05
543.000	0.0869200	0.00620000	6.62000e-05
544.000	0.0868600	0.00620000	6.66000e-05
545.000	0.0868000	0.00620000	6.70000e-05
546.000	0.0867400	0.00620000	6.74000e-05
547.000	0.0866800	0.00620000	6.78000e-05
548.000	0.0866200	0.00620000	6.82000e-05
549.000	0.0865600	0.00620000	6.86000e-05
550.000	0.0865000	0.00620000	6.90000e-05
551.000	0.0864400	0.00621000	6.94000e-05
552.000	0.0863800	0.00622000	6.98000e-05
553.000	0.0863200	0.00623000	7.02000e-05
554.000	0.0862600	0.00624000	7.06000e-05
555.000	0.0862000	0.00625000	7.10000e-05
556.000	0.0861400	0.00626000	7.14000e-05
557.000	0.0860800	0.00627000	7.18000e-05
558.000	0.0860200	0.00628000	7.22000e-05
559.000	0.0859600	0.00629000	7.26000e-05
560.000	0.0859000	0.00630000	7.30000e-05
561.000	0.0858700	0.00631000	7.35000e-05
562.000	0.0858400	0.00632000	7.40000e-05
563.000	0.0858100	0.00633000	7.45000e-05
564.000	0.0857800	0.00634000	7.50000e-05
565.000	0.0857500	0.00635000	7.55000e-05
566.000	0.0857200	0.00636000	7.60000e-05
567.000	0.0856900	0.00637000	7.65000e-05
568.000	0.0856600	0.00638000	7.70000e-05
569.000	0.0856300	0.00639000	7.75000e-05
570.000	0.0856000	0.00640000	7.80000e-05
571.000	0.0856000	0.00641000	7.85000e-05
572.000	0.0856000	0.00642000	7.90000e-05
573.000	0.0856000	0.00643000	7.95000e-05
574.000	0.0856000	0.00644000	8.00000e-05
575.000	0.0856000	0.00645000	8.05000e-05
576.000	0.0856000	0.00646000	8.10000e-05
577.000	0.0856000	0.00647000	8.15000e-05
578.000	0.0856000	0.00648000	8.20000e-05
579.000	0.0856000	0.00649000	8.25000e-05
580.000	0.0856000	0.00650000	8.30000e-05
581.000	0.0855100	0.00651000	8.36000e-05
582.000	0.0854200	0.00652000	8.42000e-05
583.000	0.0853300	0.00653000	8.48000e-05
584.000	0.0852400	0.00654000	8.54000e-05
585.000	0.0851500	0.00655000	8.60000e-05
586.000	0.0850600	0.00656000	8.66000e-05
587.000	0.0849700	0.00657000	8.72000e-05
588.000	0.0848800	0.00658000	8.78000e-05
589.000	0.0847900	0.00659000	8.84000e-05
590.000	0.0847000	0.00660000	8.90000e-05
591.000	0.0846900	0.00661000	8.95000e-05
592.000	0.0846800	0.00662000	9.00000e-05
593.000	0.0846700	0.00663000	9.05000e-05
594.000	0.0846600	0.00664000	9.10000e-05
595.000	0.0846500	0.00665000	9.15000e-05
596.000	0.0846400	0.00666000	9.20000e-05
597.000	0.0846300	0.00667000	9.25000e-05
598.000	0.0846200	0.00668000	9.30000e-05
599.000	0.0846100	0.00669000	9.35000e-05
600.000	0.0846000	0.00670000	9.40000e-05
601.000	0.0845600	0.00671000	9.46000e-05
602.000	0.0845200	0.00672000	9.52000e-05
603.000	0.0844800	0.00673000	9.58000e-05
604.000	0.0844400	0.00674000	9.64000e-05
605.000	0.0844000	0.00675000	9.70000e-05
606.000	0.0843600	0.00676000	9.76000e-05
607.000	0.0843200	0.00677000	9.82000e-05
608.000	0.0842800	0.00678000	9.88000e-05
609.000	0.0842400	0.00679000	9.94000e-05
610.000	0.0842000	0.00680000	0.000100000
611.000	0.0841100	0.00681000	0.000101000
612.000	0.0840200	0.00682000	0.000102000
613.000	0.0839300	0.00683000	0.000103000
614.000	0.0838400	0.00684000	0.000104000
615.000	0.0837500	0.00685000	0.000105000
616.000	0.0836600	0.00686000	0.000106000
617.000	0.0835700	0.00687000	0.000107000
618.000	0.0834800	0.00688000	0.000108000
619.000	0.0833900	0.00689000	0.000109000
620.000	0.0833000	0.00690000	0.000110000
621.000	0.0833400	0.00692000	0.000110000
622.000	0.0833800	0.00694000	0.000110000
623.000	0.0834200	0.00696000	0.000110000
624.000	0.0834600	0.00698000	0.000110000
625.000	0.0835000	0.00700000	0.000110000
626.000	0.0835400	0.00702000	0.000110000
627.000	0.0835800	0.00704000	0.000110000
628.000	0.0836200	0.00706000	0.000110000
629.000	0.0836600	0.00708000	0.000110000
630.000	0.0837000	0.00710000	0.000110000
631.000	0.0837100	0.00712000	0.000111000
632.000	0.0837200	0.00714000	0.000112000
633.000	0.0837300	0.00716000	0.000113000
634.000	0.0837400	0.00718000	0.000114000
635.000	0.0837500	0.00720000	0.000115000
636.000	0.0837600	0.00722000	0.000116000
637.000	0.0837700	0.00724000	0.000117000
638.000	0.0837800	0.00726000	0.000118000
639.000	0.0837900	0.00728000	0.000119000
640.000	0.0838000	0.00730000	0.000120000
641.000	0.0837600	0.00732000	0.000121000
642.000	0.0837200	0.00734000	0.000122000
643.000	0.0836800	0.00736000	0.000123000
644.000	0.0836400	0.00738000	0.000124000
645.000	0.0836000	0.00740000	0.000125000
646.000	0.0835600	0.00742000	0.000126000
647.000	0.0835200	0.00744000	0.000127000
648.000	0.0834800	0.00746000	0.000128000
649.000	0.0834400	0.00748000	0.000129000
650.000	0.0834000	0.00750000	0.000130000
651.000	0.0834400	0.00753000	0.000130000
652.000	0.0834800	0.00756000	0.000130000
653.000	0.0835200	0.00759000	0.000130000
654.000	0.0835600	0.00762000	0.000130000
655.000	0.0836000	0.00765000	0.000130000
656.000	0.0836400	0.00768000	0.000130000
657.000	0.0836800	0.00771000	0.000130000
658.000	0.0837200	0.00774000	0.000130000
659.000	0.0837600	0.00777000	0.000130000
660.000	0.0838000	0.00780000	0.000130000
661.000	0.0837500	0.00783000	0.000131000
662.000	0.0837000	0.00786000	0.000132000
663.000	0.0836500	0.00789000	0.000133000
664.000	0.0836000	0.00792000	0.000134000
665.000	0.0835500	0.00795000	0.000135000
666.000	0.0835000	0.00798000	0.000136000
667.000	0.0834500	0.00801000	0.000137000
668.000	0.0834000	0.00804000	0.000138000
669.000	0.0833500	0.00807000	0.000139000
670.000	0.0833000	0.00810000	0.000140000
671.000	0.0833000	0.00812000	0.000141000
672.000	0.0833000	0.00814000	0.000142000
673.000	0.0833000	0.00816000	0.000143000
674.000	0.0833000	0.00818000	0.000144000
675.000	0.0833000	0.00820000	0.000145000
676.000	0.0833000	0.00822000	0.000146000
677.000	0.0833000	0.00824000	0.000147000
678.000	0.0833000	0.00826000	0.000148000
679.000	0.0833000	0.00828000	0.000149000
680.000	0.0833000	0.00830000	0.000150000
681.000	0.0833000	0.00832000	0.000151000
682.000	0.0833000	0.00834000	0.000152000
683.000	0.0833000	0.00836000	0.000153000
684.000	0.0833000	0.00838000	0.000154000
685.000	0.0833000	0.00840000	0.000155000
686.000	0.0833000	0.00842000	0.000156000
687.000	0.0833000	0.00844000	0.000157000
